Original Job Title,Job,Company,Location,Min Salary,Max Salary,Avg Salary
Analista de datos,Data Analyst,Skandia Operadora De F...,Ciudad de México,20000.0,25000.0,22500.0
Analista de Datos,Data Analyst,General De Seguros,Ciudad de México,,,
Analista de datos MDM,Data Analyst,Grupo Alnus S.A. De C.V.,Nuevo León,17000.0,20000.0,18500.0
ANALISTA DE DATOS ECOMMERCE,Data Analyst,Grupo Daisa,Ciudad de México,16000.0,16000.0,16000.0
Analista de datos maestros,Data Analyst,Confidential,Nuevo León,10000.0,10000.0,10000.0
Coordinador analista de datos,Data Analyst,Confidential,Ciudad de México,,,
ANALISTA DE DATOS / EXPERTO EN EXCEL,Data Analyst,Confidential,Jalisco,11000.0,13000.0,12000.0
Analista de Datos en Azure (6 meses),Data Analyst,Sygno,Nuevo León,55000.0,60000.0,57500.0
Analista de Datos (Power Bi-Tableau),Data Analyst,Confidential,Ciudad de México,29000.0,29000.0,29000.0
Analista de base de datos,Data Analyst,Servicios De Energia E...,Nuevo León,25000.0,27000.0,26000.0
Analista de Bases de Datos BI,Data Analyst,Confidential,Ciudad de México,28000.0,29000.0,28500.0
Analista de Gestión de Datos Jr.,Data Analyst,Pepsico División Foods,Sonora,11000.0,11500.0,11250.0
Data Analyst,Data Analyst,Michael Page,Remote/NA,,,
Data Analyst,Data Analyst,Alia,Ciudad de México,60000.0,65000.0,62500.0
Data analyst,Data Analyst,Confidential,Ciudad de México,30000.0,35000.0,32500.0
Data analyst,Data Analyst,"Carl Zeiss De México, ...",Ciudad de México,,,
Portfolio Data Analyst,Data Analyst,Banamex,Ciudad de México,,,
Analista Datos/CEDIS,Data Analyst,Cloe Personale Ii Sa D...,Jalisco,,,
Analista datos maestros,Data Analyst,Confidential,Estado de México,,,
Analista de datos,Data Analyst,Confidential,Estado de México,,,
Analista de Datos,Data Analyst,Sistemes Integrats Cor...,Ciudad de México,20000.0,30000.0,25000.0
Analista de datos,Data Analyst,Heybanco,Nuevo León,12000.0,14000.0,13000.0
Analista de datos,Data Analyst,"Manpower, S.A. De C.V.",Aguascalientes,15000.0,22000.0,18500.0
Analista de Datos,Data Analyst,"Aerovías De México, Sa...",Ciudad de México,,,
Analista de datos,Data Analyst,Corporativo Laboral Y ...,Ciudad de México,35000.0,37000.0,36000.0
Analista de datos,Data Analyst,Cia Periodistica Esto,Ciudad de México,20000.0,30000.0,25000.0
Analista de Datos,Data Analyst,"Corsa Transportes,Sa.D...",Nuevo León,15000.0,17000.0,16000.0
Analista de datos,Data Analyst,Dcs Delta Corporate Se...,Ciudad de México,8000.0,8000.0,8000.0
ANALISTA DE DATOS,Data Analyst,Confidential,Ciudad de México,12000.0,15000.0,13500.0
Analista de Datos,Data Analyst,Thtec Talento Humano E...,Ciudad de México,45000.0,45000.0,45000.0
Analista de Datos,Data Analyst,Holcim,Jalisco,,,
ANALISTA DE DATOS,Data Analyst,Sedegral Seguridad Pri...,Ciudad de México,10000.0,14000.0,12000.0
Analista de Datos,Data Analyst,"Autofin, S.A.",Estado de México,15000.0,18000.0,16500.0
Analista de datos,Data Analyst,Confidential,Ciudad de México,,,
ANALISTA DE DATOS,Data Analyst,Embe Personal S.A. De ...,Yucatán,,,
Analista de Datos,Data Analyst,Farmacéuticos Maypo,Ciudad de México,20000.0,22000.0,21000.0
Analista de Datos,Data Analyst,"Uline, Inc.",Nuevo León,,,
Analista de datos,Data Analyst,Evc Consultores,Jalisco,12000.0,12001.0,12000.5
Analista de Datos,Data Analyst,Dasavena Gourmet Sa De...,Jalisco,17000.0,20000.0,18500.0
Analista de Datos,Data Analyst,Megacable,Estado de México,16000.0,19000.0,17500.0
Analista de datos,Data Analyst,Confidential,Nuevo León,,,
Analista de Datos,Data Analyst,Conduent De México Sa ...,Chihuahua,10000.0,10800.0,10400.0
Analista de datos y proceso,Data Analyst,Kelly Services,Estado de México,,,
analista de datos sr,Data Analyst,Confidential,Ciudad de México,22000.0,22000.0,22000.0
Analista de Datos Jr.,Data Analyst,"Previta, S.A De C.V.",Ciudad de México,28000.0,30000.0,29000.0
Analista de datos sr.,Data Analyst,Confidential,Ciudad de México,70000.0,80000.0,75000.0
Analista de Datos Jr.,Data Analyst,Nueva Wal Mart De Mexi...,Ciudad de México,15000.0,20000.0,17500.0
Analista de datos jr,Data Analyst,Herramientas Truper,Ciudad de México,30000.0,32000.0,31000.0
Analista de datos JR,Data Analyst,Servicios Enki De Mexi...,Ciudad de México,,,
Analista de datos Sr.,Data Analyst,Confidential,Ciudad de México,80000.0,80000.0,80000.0
Analista de datos jr,Data Analyst,Repsol,Ciudad de México,,,
Analista de Datos E commerce,Data Analyst,Operadora De Servicios...,Estado de México,26000.0,26000.0,26000.0
Analista de datos en valuación,Data Analyst,Ernst & Young,Ciudad de México,,,
Analista de datos jr,Data Analyst,Adecco,Ciudad de México,18000.0,20000.0,19000.0
Analista de Datos Jr,Data Analyst,Pepsico División Foods,Yucatán,8713.0,8713.0,8713.0
Analista de Datos de Productos,Data Analyst,"Travers Tool, S De Rl ...",Querétaro,22000.0,25000.0,23500.0
