Job,Salary,Company,Location
Analista de datos,"$20,000 - $25,000  Mensual",SKANDIA OPERADORA DE F...,"Polanco II Sección, Miguel Hidalgo, CDMX"
Analista de Datos,Sueldo no mostrado por la empresa,GENERAL DE SEGUROS,CDMX
Analista de datos MDM,"$17,000 - $20,000  Mensual",Grupo Alnus S.A. de C.V.,"Monterrey, N.L."
ANALISTA DE DATOS ECOMMERCE,"$16,000  Mensual",Grupo Daisa,"Cuauhtémoc, CDMX"
Analista de datos maestros,"$10,000  Mensual",Empresa confidencial,"Monterrey, N.L."
Coordinador analista de datos,Sueldo no mostrado por la empresa,Empresa confidencial,"Miguel Hidalgo, CDMX"
ANALISTA DE DATOS / EXPERTO EN EXCEL,"$11,000 - $13,000  Mensual",Empresa confidencial,"Zapopan, Jal."
Analista de Datos en Azure (6 meses),"$55,000 - $60,000  Mensual",SYGNO,"Monterrey, N.L."
Analista de Datos (Power Bi-Tableau),"$29,000  Mensual",Empresa confidencial,CDMX
Analista de base de datos,"$25,000 - $27,000  Mensual",SERVICIOS DE ENERGIA E...,"Monterrey, N.L."
Analista de datos,"$20,000 - $25,000  Mensual",SKANDIA OPERADORA DE F...,"Polanco II Sección, Miguel Hidalgo, CDMX"
Analista de Datos,Sueldo no mostrado por la empresa,GENERAL DE SEGUROS,CDMX
Analista de datos MDM,"$17,000 - $20,000  Mensual",Grupo Alnus S.A. de C.V.,"Monterrey, N.L."
ANALISTA DE DATOS ECOMMERCE,"$16,000  Mensual",Grupo Daisa,"Cuauhtémoc, CDMX"
Analista de datos maestros,"$10,000  Mensual",Empresa confidencial,"Monterrey, N.L."
Coordinador analista de datos,Sueldo no mostrado por la empresa,Empresa confidencial,"Miguel Hidalgo, CDMX"
ANALISTA DE DATOS / EXPERTO EN EXCEL,"$11,000 - $13,000  Mensual",Empresa confidencial,"Zapopan, Jal."
Analista de Datos en Azure (6 meses),"$55,000 - $60,000  Mensual",SYGNO,"Monterrey, N.L."
Analista de Datos (Power Bi-Tableau),"$29,000  Mensual",Empresa confidencial,CDMX
